Date,Open,High,Low,Close,Adj Close,Volume
2014-12-17,57.000000,57.000000,57.000000,57.000000,47.176712,0
2014-12-18,53.750000,55.849998,53.599998,54.000000,44.693714,3800
2014-12-19,55.150002,56.750000,55.150002,56.750000,46.969795,500
2014-12-22,56.099998,56.099998,56.099998,56.099998,46.431805,500
2014-12-23,56.099998,56.099998,56.099998,56.099998,46.431805,0
2014-12-24,56.099998,56.099998,56.099998,56.099998,46.431805,0
2014-12-26,57.500000,57.500000,57.500000,57.500000,47.590542,1100
2014-12-29,57.500000,57.500000,57.500000,57.500000,48.769951,0
2014-12-30,57.500000,57.500000,57.500000,57.500000,48.769951,0
2014-12-31,56.750000,56.750000,56.750000,56.750000,48.133812,100
2015-01-02,56.750000,56.750000,56.750000,56.750000,48.133812,0
2015-01-05,56.500000,56.500000,56.500000,56.500000,47.921776,400
2015-01-06,55.650002,55.650002,55.270000,55.270000,46.878521,300
2015-01-07,56.200001,56.200001,56.200001,56.200001,47.667320,1000
2015-01-08,57.250000,57.250000,57.250000,57.250000,48.557896,500
2015-01-09,58.250000,58.250000,58.250000,58.250000,49.406075,700
2015-01-12,58.250000,58.250000,58.250000,58.250000,49.406075,0
2015-01-13,58.500000,58.500000,58.500000,58.500000,49.618118,200
2015-01-14,57.500000,57.549999,57.500000,57.549999,48.812359,600
2015-01-15,58.500000,58.750000,55.750000,55.750000,47.285641,4400
2015-01-16,55.259998,55.259998,55.259998,55.259998,46.870041,800
2015-01-20,56.250000,56.250000,56.250000,56.250000,47.709728,300
2015-01-21,56.250000,56.250000,56.250000,56.250000,47.709728,0
2015-01-22,56.450001,56.450001,55.650002,55.650002,47.200829,1400
2015-01-23,55.750000,55.750000,55.750000,55.750000,47.285641,500
2015-01-26,55.049999,55.049999,55.049999,55.049999,46.691917,1900
2015-01-27,55.049999,55.049999,55.049999,55.049999,46.691917,0
2015-01-28,55.049999,55.049999,55.049999,55.049999,46.691917,0
2015-01-29,53.000000,53.250000,53.000000,53.250000,45.165211,600
2015-01-30,53.049999,53.049999,53.049999,53.049999,44.995579,500
2015-02-02,53.049999,53.049999,53.049999,53.049999,44.995579,0
2015-02-03,53.049999,53.049999,53.049999,53.049999,44.995579,0
2015-02-04,52.599998,52.599998,52.599998,52.599998,44.613903,500
2015-02-05,52.599998,52.599998,52.599998,52.599998,44.613903,0
2015-02-06,49.410000,49.410000,49.099998,49.099998,41.645290,1100
2015-02-09,48.750000,48.750000,48.750000,48.750000,41.348438,300
2015-02-10,48.250000,48.250000,48.250000,48.250000,40.924343,23700
2015-02-11,48.250000,48.250000,47.750000,47.750000,40.500263,1000
2015-02-12,47.750000,47.750000,47.750000,47.750000,40.500263,0
2015-02-13,49.130001,49.200001,48.750000,49.200001,41.730114,800
2015-02-17,49.200001,49.200001,49.200001,49.200001,41.730114,200
2015-02-18,49.750000,49.750000,49.750000,49.750000,42.196602,1600
2015-02-19,49.750000,49.750000,49.750000,49.750000,42.196602,0
2015-02-20,49.750000,49.750000,49.750000,49.750000,42.196602,0
2015-02-23,49.750000,49.750000,49.750000,49.750000,42.196602,0
2015-02-24,51.000000,51.000000,49.599998,49.599998,42.069378,900
2015-02-25,48.950001,48.950001,48.950001,48.950001,41.518066,100
2015-02-26,48.950001,48.950001,48.950001,48.950001,41.518066,300
2015-02-27,48.950001,48.950001,48.950001,48.950001,41.518066,200
2015-03-02,48.950001,48.950001,48.950001,48.950001,41.518066,0
2015-03-03,48.950001,48.950001,48.950001,48.950001,41.518066,500
2015-03-04,48.950001,48.950001,48.950001,48.950001,41.518066,0
2015-03-05,48.950001,48.950001,48.950001,48.950001,41.518066,0
2015-03-06,51.139999,51.139999,49.599998,49.599998,42.069378,31500
2015-03-09,49.639999,49.639999,49.639999,49.639999,42.103306,11700
2015-03-10,49.639999,49.639999,49.639999,49.639999,42.103306,0
2015-03-11,48.500000,49.750000,48.500000,48.500000,41.136387,4000
2015-03-12,49.000000,49.000000,49.000000,49.000000,41.560478,200
2015-03-13,49.000000,49.000000,49.000000,49.000000,41.560478,0
2015-03-16,50.619999,50.619999,50.000000,50.000000,42.408646,2900
2015-03-17,50.000000,50.000000,50.000000,50.000000,42.408646,0
2015-03-18,50.000000,50.000000,50.000000,50.000000,42.408646,0
2015-03-19,50.000000,50.000000,50.000000,50.000000,42.408646,0
2015-03-20,50.919998,50.919998,50.919998,50.919998,43.188969,400
2015-03-23,50.500000,50.500000,50.500000,50.500000,42.832737,2300
2015-03-24,49.500000,49.500000,49.500000,49.500000,41.984558,3100
2015-03-25,49.500000,49.500000,49.500000,49.500000,41.984558,0
2015-03-26,49.500000,49.500000,49.500000,49.500000,41.984558,0
2015-03-27,49.500000,49.500000,49.500000,49.500000,41.984558,0
2015-03-30,49.500000,49.500000,49.500000,49.500000,41.984558,0
2015-03-31,49.500000,49.500000,49.500000,49.500000,41.984558,0
2015-04-01,49.500000,49.500000,49.500000,49.500000,41.984558,0
2015-04-02,49.500000,49.500000,49.500000,49.500000,41.984558,0
2015-04-06,49.500000,49.500000,49.500000,49.500000,41.984558,0
2015-04-07,49.500000,49.500000,49.500000,49.500000,41.984558,0
2015-04-08,49.500000,49.500000,49.500000,49.500000,41.984558,0
2015-04-09,48.549999,48.549999,48.549999,48.549999,41.178802,4100
2015-04-10,48.549999,48.549999,48.549999,48.549999,41.178802,0
2015-04-13,48.549999,48.549999,48.549999,48.549999,41.178802,0
2015-04-14,48.549999,48.549999,48.549999,48.549999,41.178802,0
2015-04-15,48.549999,48.549999,48.549999,48.549999,41.178802,0
2015-04-16,48.549999,48.549999,48.549999,48.549999,41.178802,0
2015-04-17,52.759998,52.759998,52.759998,52.759998,44.749603,700
2015-04-20,52.759998,52.759998,52.759998,52.759998,44.749603,0
2015-04-21,52.759998,52.759998,52.759998,52.759998,44.749603,0
